time;y1;y2;y3;u1;u2;x1;x2;x3
81;0.3472098;0.022087840000000025;0.10375440000000002;0.00010128;0;0.3444201463924762;0.020412989835474547;0.10253033184310163
82;0.3507042;0.02275088000000003;0.10523760000000001;0.00010128;0;0.34776640131286185;0.020901982713213012;0.10400538623004858
83;0.35419860000000003;0.023082400000000003;0.10672080000000003;0.00010128;0;0.3511023236984199;0.02139166245375037;0.10547833786762977
84;0.3583586;0.023745440000000007;0.10803920000000003;0.00010128;0;0.35442455479038554;0.021877514769481795;0.10694957390920701
85;0.3620194;0.023745440000000007;0.10985200000000003;0.00010128;0;0.3577554404255951;0.02235847940325691;0.10841896029272392
86;0.3655138;0.02440848000000001;0.11117040000000003;0.00010128;0;0.36108039713614176;0.022830821643165466;0.10988691680911074
87;0.36934100000000003;0.024739999999999984;0.11298320000000003;0.00010128;0;0.3643943594898673;0.0232956183070746;0.11135300534511809
88;0.3725026;0.025403039999999988;0.11413680000000004;0.00010128;0;0.36770756420637285;0.02375244147503535;0.11281751729173659
89;0.37632980000000005;0.025734560000000017;0.11413680000000004;0.00010128;0;0.37100534815533054;0.024203788223688613;0.11428055447938285
90;0.3798242;0.02606607999999999;0.11611440000000003;0.00010128;0;0.37429829255757935;0.02464807904875694;0.11574059147392499
91;0.3798242;0.02656335999999998;0.11759760000000002;0.00010128;0;0.37758767592201115;0.02508795313913635;0.11719979268233922
92;0.3838178;0.02689488000000001;0.11974000000000001;0.00010128;0;0.38077118289082473;0.0255238567503708;0.11865737961958431
93;0.38714580000000004;0.02772368000000003;0.12138800000000002;0.00010128;0;0.3839676581605989;0.02595669829491526;0.12011343315112054
94;0.3906402;0.028055200000000002;0.12254160000000003;0.00010128;0;0.38715312255443657;0.026387571591813933;0.12156769955654541
95;0.3941346;0.02855247999999999;0.12435440000000003;0.00010128;0;0.3903385835142491;0.026814559598117703;0.12301975738161579
96;0.3977954;0.02855247999999999;0.12583760000000002;0.00010128;0;0.39352113922092075;0.027238268392033502;0.1244703020402331
97;0.40145620000000004;0.02904975999999998;0.12732080000000004;0.00010128;0;0.3967068557877574;0.027656626821518204;0.12591886929130694
98;0.4046178;0.029547040000000024;0.12863920000000004;0.00010128;0;0.3998961644010636;0.028068867702477424;0.12736591513347373
99;0.4079458;0.02987856;0.13028720000000002;0.00010128;0;0.40307725989726667;0.028474859001457426;0.12881134489410842
100;0.41160660000000004;0.030707360000000017;0.13193520000000003;0.00010128;0;0.40625533823016347;0.028872972082193846;0.130255254997734
101;0.4146018;0.030873119999999976;0.13193520000000003;0.00010128;0;0.4094372189403655;0.02926337904618552;0.13169772676495609
102;0.4146018;0.03153615999999998;0.13341840000000002;0.00010128;0;0.4126080589885355;0.02964492882362912;0.13313835687920042
103;0.41892820000000003;0.03186768000000001;0.13539600000000002;0.00010128;0;0.41568696996413174;0.03001860118323893;0.13457715770206208
104;0.42159060000000004;0.03253072000000001;0.13638480000000003;0.00010128;0;0.4187911930257045;0.030385086314969334;0.13601427692514473
105;0.4254178;0.03269648000000003;0.13819760000000003;0.00010128;0;0.42187701342486256;0.030744620859616104;0.1374490265887055
106;0.42857940000000005;0.03385680000000002;0.13968080000000002;0.00010128;0;0.4249752452632116;0.031096964331091444;0.1388826549267129
107;0.4320738;0.03385680000000002;0.141164;0.00010128;0;0.4280708722138748;0.03144603243518441;0.14031459183219472
108;0.4357346;0.03402255999999998;0.14264720000000003;0.00010128;0;0.4311708009225411;0.031789167705517485;0.14174495007503715
109;0.4390626;0.034519840000000024;0.14462480000000003;0.00010128;0;0.4342780686832802;0.03212835804712111;0.14317371046658176
110;0.4422242;0.03485136;0.14577840000000003;0.00010128;0;0.43738862036655524;0.032465631762187225;0.1446013787293982
111;0.4455522;0.0355144;0.14775600000000003;0.00010128;0;0.4404915059437732;0.03280013545212916;0.1460278619972686
112;0.44888020000000006;0.03584592000000003;0.14775600000000003;0.00010128;0;0.44359374912112715;0.033134338282830376;0.14745350896751938
113;0.44888020000000006;0.03634320000000002;0.14923920000000002;0.00010128;0;0.44669899793614076;0.0334680426057428;0.1488773581433403
114;0.45187540000000004;0.03650895999999998;0.1512168;0.00010128;0;0.44971487280658456;0.03380202406536661;0.1502997463801894
115;0.45520340000000004;0.03733776;0.15237040000000002;0.00010128;0;0.45272410615579484;0.034135204626025165;0.15172107692839168
116;0.45869780000000004;0.03766928000000003;0.15368880000000001;0.00010128;0;0.45573093027721484;0.03446988038627852;0.15313976590118145
117;0.46185940000000003;0.0380008;0.15533680000000002;0.00010128;0;0.45874673683183664;0.03480427609809345;0.1545568922431429
118;0.4648546;0.0380008;0.15731440000000002;0.00010128;0;0.4617597679229263;0.0351384455770028;0.15597343568086708
119;0.4681826;0.03833232000000003;0.15863280000000002;0.00010128;0;0.46476492942851394;0.0354720713316947;0.15738828545254727
120;0.4718434;0.03882960000000002;0.16044560000000002;0.00010128;0;0.46777076418693;0.03580586880682027;0.15880277374402052
121;0.4748386;0.03932688000000001;0.16209360000000003;0.00010128;0;0.47078270291774915;0.03613888230111818;0.16021556310271517
122;0.47783380000000003;0.03965839999999998;0.16324720000000004;0.00010128;0;0.47378500071583657;0.036471649923471655;0.1616269809357385
123;0.4809954;0.040321439999999986;0.16324720000000004;0.00010128;0;0.4767759596999743;0.03680406950089913;0.16303792816212437
124;0.4809954;0.040652960000000016;0.16489520000000002;0.00010128;0;0.4797638888380394;0.037136756952270436;0.16444589647678995
125;0.4843234;0.04098447999999999;0.16637840000000004;0.00010128;0;0.4826711200104627;0.03747172840509101;0.16585305448513735
126;0.48748500000000006;0.04148175999999998;0.16802640000000002;0.00010128;0;0.4855779873208598;0.03780531836307519;0.1672592072634026
127;0.49064660000000004;0.04181328000000001;0.16983920000000002;0.00010128;0;0.48848154215628936;0.03814052429020967;0.16866320629418924
128;0.49430740000000006;0.04247632000000001;0.1713224;0.00010128;0;0.49137891970820374;0.038475842214326594;0.17006707253103834
129;0.4969698;0.04247632000000001;0.17280560000000003;0.00010128;0;0.4942889482416978;0.0388119079814205;0.17146866711521275
130;0.5002978;0.04264208000000003;0.17412400000000003;0.00010128;0;0.49717572002762966;0.039148433335091666;0.17286950282692823
131;0.5037922;0.0429736;0.17593680000000003;0.00010128;0;0.5000648249219345;0.03948418111761457;0.17426916566700276
132;0.5067874;0.04380240000000002;0.17725520000000003;0.00010128;0;0.5029561762018163;0.039818578768106634;0.17566748202676216
133;0.5102818;0.04429968000000001;0.17873840000000002;0.00010128;0;0.5058346939371313;0.040153055852485124;0.17706471016046577
134;0.5126114;0.04446544000000002;0.17873840000000002;0.00010128;0;0.5087184693602514;0.04048679889287502;0.17846114571715596
