time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1
94;0.1381282;0.008661279999999993;0.04574480000000003;0.13868411129343644;-0.00019019816139031603;0.00899482975914473;0.000014599028729661893;0.000024879754961008138;0.00002795230540037461;0.00005064
95;0.1397922;0.008827040000000008;0.04656880000000002;0.139961222632933;-0.00017439780260689104;0.009070048597803517;0.000014631653291332566;0.000025151043296574713;0.00002790194600322783;0.00005064
96;0.14128980000000002;0.008827040000000008;0.04739280000000001;0.14132044070170646;-0.0001609298554002429;0.009159774505162659;0.000014665063999600086;0.000025416632031242215;0.000027757123951127488;0.00005064
97;0.1427874;0.008827040000000008;0.04788720000000002;0.142664748092267;-0.00014711317731825308;0.009243273347784712;0.00001472343479285706;0.00002567801378736513;0.000027516204158227547;0.00005064
98;0.14428500000000002;0.008992800000000023;0.049205600000000016;0.14404377503209206;-0.0001350499750431529;0.009334900707070848;0.000014769691515356093;0.000025936355198074594;0.00002718017182306054;0.00005064
99;0.1457826;0.009324319999999997;0.04986480000000004;0.14542188769089268;-0.00012407305354512538;0.009424456068400814;0.00001482346006159245;0.000026194714355518183;0.000026734424373326226;0.00005064
100;0.1477794;0.009655840000000027;0.05052400000000001;0.1468244365842908;-0.00011508268828733657;0.009521395615656954;0.000014875046748234221;0.00002645572451117208;0.000026204244425138843;0.00005064
101;0.1482786;0.009655840000000027;0.051348000000000005;0.14833664022349163;-0.0001106872578321906;0.009649226819481965;0.00001493783905873726;0.000026722611016351545;0.000025601323040684634;0.00005064
102;0.15044180000000001;0.00998736;0.05233680000000002;0.14968144857900567;-0.00010206626129685569;0.009735299392449163;0.000015014483757866894;0.00002699671817909598;0.00002495652103322495;0.00005064
103;0.1519394;0.010153120000000015;0.05332560000000003;0.15115915671233365;-0.00009829361854802559;0.009858947967169664;0.00001507634261981874;0.00002728083852627212;0.000024281119259195672;0.00005064
104;0.15343700000000002;0.010318879999999975;0.05332560000000003;0.15263400291727727;-0.00009573044873702694;0.00998490371742332;0.000015136153837636015;0.000027573913552667425;0.000023610151416474644;0.00005064
105;0.15343700000000002;0.010318879999999975;0.053655200000000014;0.1541084524300098;-0.00009441804567926612;0.010114333570400959;0.000015196789629965304;0.00002787304125484381;0.000022975814460997813;0.00005064
106;0.1546018;0.010816160000000019;0.054479200000000005;0.1552954361829132;-0.00009190073422164966;0.010180072443507028;0.000015233630041236693;0.000028174385600728605;0.000022391808075646642;0.00005064
107;0.15643220000000002;0.010816160000000019;0.05546800000000002;0.1564856591981762;-0.00009182482716317412;0.010251288056285203;0.000015251959383163358;0.000028475401994737558;0.000021876028539814892;0.00005064
108;0.15759700000000001;0.010816160000000019;0.05629200000000001;0.1577651959058872;-0.00009362752079640762;0.010348376013080966;0.000015247784606247424;0.00002877347882601563;0.00002145431767051761;0.00005064
109;0.15892820000000002;0.010981919999999978;0.057116000000000056;0.1590356697213889;-0.00009649411485311274;0.010448387826029212;0.000015226368445288967;0.00002906737397470023;0.00002112258004212925;0.00005064
110;0.160093;0.011644959999999982;0.057610400000000006;0.16031313880133588;-0.00010041390090538652;0.010554753088294126;0.000015201250869970206;0.000029356889382186372;0.000020881580861879123;0.00005064
111;0.1615906;0.011810719999999997;0.05876400000000004;0.1615675833627099;-0.00010505823623683833;0.010660971249335642;0.00001518163443806344;0.00002964263324810303;0.000020720743025487524;0.00005064
